time,band,channel_1,channel_2,channel_3,channel_4,channel_5,channel_n_vals,channel_present,sc_active_1,sc_active_2,sc_active_3,sc_active_4,sc_active_5,sc_active_n_vals,sc_active_present,rscp_active_1,rscp_active_2,rscp_active_3,rscp_active_4,rscp_active_5,rscp_active_n_vals,rscp_active_present,ecno_active_1,ecno_active_2,ecno_active_3,ecno_active_4,ecno_active_5,ecno_active_n_vals,ecno_active_present,rscp_detected_1,sc_detected_1,sc_detected_2,sc_detected_3,sc_detected_4,sc_detected_5,sc_detected_6,sc_detected_7,sc_detected_8,sc_detected_9,sc_detected_10,sc_detected_11,sc_detected_12,sc_detected_13,sc_detected_14,sc_detected_15,sc_detected_16,sc_detected_17,sc_detected_18,sc_detected_19,sc_detected_20,sc_detected_21,sc_detected_22,sc_detected_23,sc_detected_24,sc_detected_25,sc_detected_26,sc_detected_27,sc_detected_28,sc_detected_29,sc_detected_30,sc_detected_31,sc_detected_32,sc_detected_33,sc_detected_34,sc_detected_35,sc_detected_36,sc_detected_37,sc_detected_38,sc_detected_39,sc_detected_40,sc_detected_41,rscp_active_mean,rscp_active_max,rscp_active_min,rscp_active_std,rscp_active_range,ecno_active_mean,ecno_active_max,ecno_active_min,ecno_active_std,rscp_detected_mean,rscp_detected_max,rscp_detected_min,rscp_delta_active_vs_best_detected
 8:36:11.915,UMTS FDD 2100 band 1,10738,,,,,1,1,387,,,,,1,1,-73.2,,,,,1,1,-9.9,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.2,-73.2,-73.2,,0.0,-9.9,-9.9,-9.9,,,,,
 8:36:12.338,UMTS FDD 2100 band 1,10738,,,,,1,1,387,,,,,1,1,-78.1,,,,,1,1,-14.3,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.1,-78.1,-78.1,,0.0,-14.3,-14.3,-14.3,,,,,
 8:36:13.021,UMTS FDD 2100 band 1,10738,,,,,1,1,387,,,,,1,1,-74.3,,,,,1,1,-10.6,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.3,-74.3,-74.3,,0.0,-10.6,-10.6,-10.6,,,,,
 8:36:13.535,"UMTS FDD 2100 band 1, UMTS FDD 2100 band 1",10713,10738,,,,2,1,387,387,,,,2,1,-68.1,-71.9,,,,2,1,-7.0,-7.2,,,,2,1,,395,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70.0,-68.1,-71.9,2.6870057685088886,3.8000000000000114,-7.1,-7.0,-7.2,0.14142135623730964,,,,
 8:36:14.018,"UMTS FDD 2100 band 1, UMTS FDD 2100 band 1",10738,10713,,,,2,1,387,387,,,,2,1,-71.4,-69.1,,,,2,1,-5.9,-8.2,,,,2,1,,395,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70.25,-69.1,-71.4,1.6263455967290674,2.3000000000000114,-7.05,-5.9,-8.2,1.6263455967290585,,,,
 8:36:14.540,"UMTS FDD 2100 band 1, UMTS FDD 2100 band 1",10738,10713,,,,2,1,387,387,,,,2,1,-75.1,-70.5,,,,2,1,-7.5,-7.7,,,,2,1,,395,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72.8,-70.5,-75.1,3.2526911934581144,4.599999999999994,-7.6,-7.5,-7.7,0.14142135623730964,,,,
 8:36:15.094,"UMTS FDD 2100 band 1, UMTS FDD 2100 band 1",10738,10713,,,,2,1,387,387,,,,2,1,-73.5,-70.3,,,,2,1,-6.9,-7.8,,,,2,1,,395,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71.9,-70.3,-73.5,2.2627416997969543,3.200000000000003,-7.35,-6.9,-7.8,0.6363961030678924,,,,
 8:36:15.634,"UMTS FDD 2100 band 1, UMTS FDD 2100 band 1",10738,10713,,,,2,1,387,387,,,,2,1,-72.5,-69.7,,,,2,1,-5.1,-7.4,,,,2,1,,395,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71.1,-69.7,-72.5,1.979898987322331,2.799999999999997,-6.25,-5.1,-7.4,1.6263455967290599,,,,
 8:36:16.134,"UMTS FDD 2100 band 1, UMTS FDD 2100 band 1",10738,10713,,,,2,1,387,387,,,,2,1,-72.4,-70.1,,,,2,1,-4.9,-8.8,,,,2,1,,395,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71.25,-70.1,-72.4,1.6263455967290674,2.3000000000000114,-6.8500000000000005,-4.9,-8.8,2.7577164466275357,,,,
 8:36:16.305,,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
